"Group","Mouse.ID","Sex","PFOA","PFOS","PFBA","PFPeA","PFHxA","PFHpA","PFNA","PFDA","PFUdA","PFDoA","PFTrDA","PFTeDA","PFBS","PFPeS","PFHxS","PFHpS","PFNS","PFDS","X4_2.FTS","X6_2_FTS","X8_2.FTS","N.MeFOSAA","N.EtFOSAA","FOSA"
"Vehicle","MV78","Male",5.024806e-06,4.838614e-06,8.78687e-08,8.2e-05,6.9e-05,5.35e-05,1.198576e-06,1.339451e-06,1.58245e-06,3.12877e-07,2.20078e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.60728e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","MV79","Male",5.73962e-06,4.838065e-06,6.86415e-08,8.2e-05,6.9e-05,5.35e-05,7.91902e-07,9.32311e-07,1.121974e-06,2.31153e-07,1.93639e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.10106e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","MV80","Male",5.641843e-06,5.195054e-06,4.46582e-08,8.2e-05,6.9e-05,5.35e-05,1.203949e-06,1.308074e-06,1.494525e-06,3.55621e-07,1.97137e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.47706e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"PFOA 0.166","MA81","Male",21.64817072,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA82","Male",24.21657509,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA83","Male",22.91608703,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA84","Male",22.82907643,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA85","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PFOA 0.166","MA86","Male",25.12720172,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA87","Male",20.66799468,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","MA88","Male",24.1546076,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA89","Male",60.4988654,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.495682652,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA90","Male",61.09148253,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA91","Male",69.44952148,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA92","Male",71.37592863,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA93","Male",62.1738217,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.25422212,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA94","Male",71.36139519,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.293997195,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA95","Male",60.6403412,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.250981779,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.5","MA96","Male",59.39505474,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.280168113,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 1","MA97","Male",90.12471655,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA98","Male",84.09754603,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA99","Male",131.5120816,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA100","Male",96.85474524,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA101","Male",100.3040696,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA102","Male",95.79675332,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA103","Male",48.82783832,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1","MA104","Male",96.84278949,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA105","Male",124.5456788,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA106","Male",86.9242975,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA107","Male",126.2502119,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA108","Male",93.84711111,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA109","Male",131.4732563,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA110","Male",149.7566118,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA111","Male",129.9338018,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOA 1.5","MA112","Male",103.8173085,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 0.166","MS113","Male",0.078,92.70782437,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.393219174,1.109991177,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS114","Male",0.078,128.6732393,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.397330798,1.74233793,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS115","Male",0.078,113.0633052,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.409171152,1.374039229,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS116","Male",0.078,104.1848626,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.344889665,1.209828966,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS117","Male",0.078,118.431439,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.27672756,1.363235109,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS118","Male",0.078,107.3801773,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.23168649,1.300607573,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS119","Male",0.078,116.4074965,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.197997003,1.353164724,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.166","MS120","Male",0.078,103.4964378,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.266836131,1.124019608,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS121","Male",0.078,319.9750697,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.897337347,4.192533151,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS122","Male",0.078,314.5205675,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.846921753,4.113358637,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS123","Male",0.078,333.474778,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.765333245,4.30106629,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS124","Male",0.078,307.7313254,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.73286239,4.448416768,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS125","Male",0.078,277.8344492,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.530844635,3.382891223,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS126","Male",0.078,300.3639433,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,1.100099804,4.700228123,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS127","Male",0.078,335.2876087,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.444835515,3.65204677,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 0.5","MS128","Male",0.078,319.3097634,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.557428544,3.886038404,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOS 1","MS129","Male",0.3905,501.5390735,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.633765406,6.721237228,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS130","Male",0.3905,565.2124867,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.029538034,8.924833938,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS131","Male",0.3905,538.9996908,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.14671164,8.620613695,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS132","Male",0.3905,488.9706162,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.524386639,6.805292653,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS133","Male",0.3905,513.7669389,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.014583245,6.020551625,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS134","Male",0.3905,575.504636,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.322116465,7.820327348,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS135","Male",3.989541005,585.0896741,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.269717839,7.427793902,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1","MS136","Male",0.3905,575.3103651,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.402231872,7.039945681,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS137","Male",0.3905,759.8560826,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.472053951,10.85783274,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS138","Male",0.3905,705.0786343,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.201955866,10.41415728,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS139","Male",0.3905,716.0729443,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.93776008,11.298176,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS140","Male",0.3905,770.9302442,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.34351491,11.01421162,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS141","Male",0.3905,749.3934605,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.848835327,10.4816374,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS142","Male",0.3905,784.6457798,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,2.061492701,11.29740566,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS143","Male",0.3905,755.1228393,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.996786388,10.67061549,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"PFOS 1.5","MS144","Male",0.3905,747.7784639,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,1.875385309,10.12911505,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
"Naive","FN145","Female",2.46348e-07,7.061344e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.75987e-07,2.65523e-07,2.69855e-07,4.35e-05,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN146","Female",2.61072e-07,2.741422e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.68527e-07,3.6303e-07,3.40121e-07,1.13929e-07,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN147","Female",1.97812e-07,1.1349033e-05,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.2884e-07,3.38972e-07,3.72621e-07,9.12884e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN148","Female",2.02917e-07,5.841622e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.46363e-07,3.91849e-07,3.9464e-07,1.25093e-07,1.14424e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN149","Female",2.66175e-07,2.676252e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,3.6207e-07,3.96524e-07,3.25778e-07,9.25942e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN150","Female",2.76571e-07,2.950662e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,3.15581e-07,4.01451e-07,4.33726e-07,1.18763e-07,1.28758e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN151","Female",3.40011e-07,4.098845e-06,2.50892e-07,8.2e-05,6.9e-05,5.35e-05,2.91961e-07,3.85043e-07,3.66867e-07,9.53901e-08,1.04598e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","FN152","Female",2.19209e-07,4.679599e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,7.65e-05,1.99288e-07,2.4307e-07,9.57036e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV153","Female",6.08385e-07,7.996714e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.80367e-07,3.44324e-07,3.88831e-07,4.35e-05,1.05038e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV154","Female",6.56966e-07,6.269047e-06,6.95e-05,8.2e-05,2.00397e-07,5.35e-05,3.48825e-07,3.48491e-07,3.01913e-07,9.91847e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV155","Female",4.42563e-07,6.39253e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.56025e-07,3.12257e-07,3.76789e-07,1.02611e-07,1.05953e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV156","Female",5.38541e-07,3.686547e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,3.02368e-07,3.98176e-07,4.3367e-07,8.7221e-08,1.22203e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV157","Female",4.13006e-07,2.342947e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.43752e-07,3.7174e-07,3.69099e-07,9.96489e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV158","Female",4.42424e-07,2.625516e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.49271e-07,3.5463e-07,3.75794e-07,9.45746e-08,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV159","Female",4.13962e-07,3.967365e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.44172e-07,3.23321e-07,3.02283e-07,4.35e-05,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","FV160","Female",4.4336e-07,5.734322e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,2.88785e-07,3.29474e-07,3.88373e-07,4.35e-05,5.2e-05,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"PFOA 0.166","FA161","Female",9.920645129,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
"PFOA 0.166","FA162","Female",13.06481377,0.115,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.093,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
